group	chao	shannon	cow	type	lact_period	eff_inoc	donor
6877_S_L	2850.012146	5.86545	6877	S	L	C	N
6877_S_M	2757.315789	5.930454	6877	S	M	C	N
6880_L_E	2875.668712	5.392026	6880	L	E	LE	N
6880_L_L	1946.443396	5.461211	6880	L	L	LE	N
6880_L_M	4158.71161	5.493215	6880	L	M	LE	N
6880_S_E	2251.594595	5.690606	6880	S	E	LE	N
6880_S_L	5039.144828	5.924818	6880	S	L	LE	N
6880_S_M	2223.021918	5.865857	6880	S	M	LE	N
6882_L_E	2779.382022	5.53504	6882	L	E	LE	N
6882_L_L	2427.028455	5.955159	6882	L	L	LE	N
6882_L_M	2488.69469	5.835066	6882	L	M	LE	N
6882_S_E	3725.058394	6.096888	6882	S	E	LE	N
6882_S_L	2596.230769	5.91608	6882	S	L	LE	N
6882_S_M	1804.655405	5.863849	6882	S	M	LE	N
6886_L_E	2865.694245	5.987628	6886	L	E	C	N
6886_L_L	2134.641509	5.905468	6886	L	L	C	N
6886_L_M	2284.632653	6.084321	6886	L	M	C	N
6886_S_E	2947.875	6.052653	6886	S	E	C	N
6886_S_L	1968.076923	5.965217	6886	S	L	C	N
6886_S_M	2213.970674	6.041312	6886	S	M	C	N
6889_L_E	2816.875887	5.744748	6889	L	E	HE	N
6889_L_L	2061.131915	5.507758	6889	L	L	HE	N
6889_L_M	2965.689498	5.938089	6889	L	M	HE	N
6889_S_E	3619.061538	5.782019	6889	S	E	HE	N
6889_S_L	2241.905512	5.840064	6889	S	L	HE	N
6889_S_M	2308.324538	6.021025	6889	S	M	HE	N
6894_L_E	2357.127796	5.874438	6894	L	E	HE	N
6894_L_L	1882.081081	5.289253	6894	L	L	HE	N
6894_L_M	2457.194215	5.607615	6894	L	M	HE	N
6894_S_E	2594.719665	5.80353	6894	S	E	HE	N
6894_S_L	2896.635338	5.797525	6894	S	L	HE	N
6894_S_M	3509.670213	6.022906	6894	S	M	HE	N
6895_L_E	2238.339223	5.410582	6895	L	E	LE	N
6895_L_L	4854.849711	6.066161	6895	L	L	LE	N
6895_L_M	2650.191176	5.878075	6895	L	M	LE	N
6895_S_E	1948.973214	5.680188	6895	S	E	LE	N
6895_S_L	3556.900958	6.039399	6895	S	L	LE	N
6895_S_M	1855.162437	5.773659	6895	S	M	LE	N
HE_I_1_24	1984.897436	5.947484	HE	I	.	HE	Y
HE_I_1_27	2194.141079	5.945399	HE	I	.	HE	Y
HE_I_1_30	2329.003195	6.024087	HE	I	.	HE	Y
HE_I_2_1	2276.126582	5.876582	HE	I	.	HE	Y
HE_I_2_10	2243.060241	5.924247	HE	I	.	HE	Y
HE_I_2_13	3893.669355	5.031439	HE	I	.	HE	Y
HE_I_2_15	2472.207469	5.871798	HE	I	.	HE	Y
HE_I_2_17	1989.710611	6.020999	HE	I	.	HE	Y
HE_I_2_2	4068.095745	5.936261	HE	I	.	HE	Y
HE_I_2_20	2882.477273	5.989986	HE	I	.	HE	Y
HE_I_2_27	3515	6.139559	HE	I	.	HE	Y
HE_I_2_3	4973.478873	5.93133	HE	I	.	HE	Y
HE_I_3_1	2839.645161	6.157321	HE	I	.	HE	Y
